"GeneSymbol","log2FC_db_dw","pvalue","alias","Entrez","log2FC_hallock","pval_hallock","fdr_hallock"
"PLAUR",4.754548,0,"Par|Plaur3|uPAR|uPAR-2|uP","50692",2.0665852022722,2.91048306936924e-06,0.000513399177288218
"ARC",5.054995,0,"rg3.1","54323",3.47716994117512,2.08525334515178e-07,7.20655264864184e-05
"GALR1",5.1025863,0,"Galnr1","50577",1.76151942179821,0.0149226154343861,0.132127458683863
"MMP3",5.109894,0,"","171045",NA,NA,NA
"MMP13",5.2357397,0,"","171052",NA,NA,NA
"GPRC5A",5.4281096,0,"Rai3","312790",3.87443045460604,4.93528585913458e-07,0.000144265456070874
"CITED2",2.067604,1.4e-45,"Mrg1","114490",0.529531534056747,0.061914269706918,0.277644047061792
"PRSS23",2.4334733,2.8e-45,"","308807",0.552971182622494,0.000207583521315191,0.0100653412633921
"CCKBR",2.7934568,2.8e-45,"Cck2r|Cholrec","25706",0.613395560284685,1.2256564120698e-05,0.00143310751450127
"CSRNP1",2.6077116,3.2e-44,"Axud1","363165",2.80376217598617,2.83984534517284e-05,0.00259214169090326
"GALNT9",1.649546,7.4e-44,"","304571",0.431949978841044,0.0243349321262713,0.170703250314626
"PENK",3.258971,7.6e-44,"Enk|Penk-rs|Penk1|Penk2","29237",0.70003510993881,0.0230922997450488,0.165676114175037
"SPRR1A",4.405632,1.18e-43,"Spr|Spr1a|Sprr|Sprr1|Sprr1a","499660",NA,NA,NA
"NPTX1",2.3235111,1.19e-43,"","266777",0.189365494887573,0.297111945136234,0.593006693462507
"SSTR3",3.0217788,1.51e-43,"SSTR|Smstr28","171044",-0.150100849902449,0.348315904234312,0.638224918126614
"HOMER1",1.6634928,5.16e-43,"HOMER1F|Vesl-1","29546",2.23128811975738,0.00115496247300181,0.0290329755805442
"NAB2",1.9878603,6.96e-43,"","314910",0.744863455618732,0.00104919684875821,0.0279564085542811
"ALOXE3",2.4174693,2.52e-42,"e-LOX-3|eLOX-3","287424",0.544500966360356,0.0178216409375333,0.144250956037898
"SERTAD1",2.2239814,2.65e-42,"","361526",2.59414791751165,8.97707778003794e-05,0.00566941251651656
"GPR68",2.5399456,2.66e-41,"","314386",0.741332690283767,0.00624016717963058,0.0790627249718891
"EGR4",3.1501546,4.21e-41,"Egr4l1|NGFI-C","25129",3.72422618182693,0.000145609953665215,0.00807458467900227
"LBH",1.3661401,6.01e-41,"","683626",0.969005315897337,0.000150249665409085,0.00815426575895813
"DAAM1",-1.1606426,7.91e-41,"","314212",0.0924870514839469,0.448572062573895,0.716786542452148
"RT1-S3",2.45826,5.13e-40,"H2-T23|RT-BM1|RT1-BM1|R","294228",NA,NA,NA
"SSTR4",2.0445876,6.55e-40,"Smstr4","25555",0.39783312022108,0.0144454193841682,0.129755123546466
"PCDH8",1.7111181,8.03e-40,"Arcadlin","64865",2.1816556476007,0.00187613377609116,0.0394574040359172
"PTAFR",3.4609513,1.2e-39,"","58949",-0.439312766600147,0.210858507418303,0.50477089950608
"PLCL1",1.8863832,2.6e-39,"","84587",0.0979231599052196,0.491916692270073,0.747540056321081
"DHRS9",3.8141215,4.01e-38,"Rdhl","170635",1.41693353313927,0.189212625111705,0.481191739378039
"SLCO2A1",3.8286128,1.77e-37,"Matr1|Slc21a2","24546",-0.703985769961676,0.189658333844779,0.481965825525567
"KLF9",1.8472241,4.2e-36,"Bteb|Bteb1","117560",0.630416843674375,0.000890552856858426,0.0253442177427498
"VASP",1.8119922,7.63e-36,"","361517",0.313756910482122,0.248833219828105,0.547127932971862
"ISM1",3.1125116,8.86e-36,"RGD1562551","311760",0.691517999707906,0.00167519711454593,0.0369937444554185
"OSBP2",1.3585519,9.21e-36,"RGD1309479","305475",-0.0652206476347549,0.731858785422573,0.88438519266029
"MEIS2",1.2149252,1.08e-35,"","311311",-0.118106625668931,0.690055966042086,0.862400269218874
"MYT1L",-1.253483,1.69e-35,"Nzf-1|Nzf1|Nztf1","116668",-0.0447477284728879,0.744640226309934,0.890894345840076
"FAM110C",3.6874802,2.14e-35,"","500638",-0.362457154749262,0.766770316027557,0.901524530226911
"MAN1A1",2.551768,2.79e-35,"Aa2-166|Man1a","294410",NA,NA,NA
"IRS2",1.6023843,3.76e-35,"4PS|IRS-2","29376",1.75362667275581,0.0044237265351307,0.0636556205076262
"SPRY2",1.3205673,4.32e-35,"","306141",1.48013511212168,2.19178361152704e-08,1.35903867451716e-05
"SPHK1",3.0671668,6.52e-35,"","170897",0.652665980889121,0.400511890130742,0.68146302144148
"AREG",3.6564286,1.21e-34,"","29183",2.04781330053453,0.00403004481297162,0.0600602891209216
"RDH10",1.7078578,1.3e-34,"","353252",0.422002064168459,0.00251064652116723,0.0467716706735733
"GCNT1",3.2552552,2.13e-34,"core","64043",-0.343250036200866,0.64381188386926,0.837376583411292
"MYCL",-2.4887106,6.92e-34,"Lmyc1|Mycl1","298506",0.0110361046521197,0.9606495381188,0.985837571812832
"DUSP4",2.4186413,1.97e-33,"Mkp-2|Mkp2","60587",2.09275263526254,0.000199774493674862,0.00982640790763227
"INHBA",2.3958855,2.04e-33,"","29200",2.43986202465053,0.00124645999299962,0.030363171877093
"ADCY8",1.7645378,4.52e-33,"Ac8","29241",0.0636286920562107,0.82660504327221,0.928009744984133
"KCNJ4",1.2723438,5.24e-33,"Hirk2","116649",0.48454836802147,0.00737716906585879,0.0875635949637253
"PDXK",2.2978668,1.1e-32,"","83578",0.203761924495364,0.102934758161539,0.356508297478235
"SCN2A",-1.0416238,4.14e-32,"NachII|Nav1.2|RII/RIIA|RNSC","24766",0.26067637619955,0.0242694576674197,0.170477735252572
"LMNA",1.6316702,4.87e-32,"","60374",0.943207112853874,2.38854368234933e-05,0.00228384957141271
